<>안의 것은 챕터
()안의 것은 부가설명
시스템은 나레이션
배경은 화면에 나타나는 글씨
장소는 배경이 되는 장소
-00	000000000
인물명	대사
/뒤의말은 독백
>>뒤의 말은 상황 설명

-----------------------------------------------------------------
스토리모드

<프롤로그>
>>	영웅과 마왕이 싸우고 있다(페이드인)
장소	마왕성

시스템	영웅을 움직이세요(이동 튜토리얼)
-마왕	크르르르르.. 너희가 나를 이길 수 있다고 생각하는거냐!
시스템	마왕을 공격하세요(기본공격 튜토리얼)
시스템	마왕에게 스킬을 시전하세요(스킬 튜토리얼)
-마왕	크윽... 이새끼가아아!!(영웅을 공격)
시스템	저런 부상을 입었네요 회복물약을 사용해봅시다(물약은 1개밖에없음)
시스템	마왕의 공격을 피하세요(회피기동 튜토리얼)
-영웅	헉헉... 끝이없군..
-마왕	이제 힘이 다했다보군 크하하하!
시스템	필살기를 사용하세요
-영웅	흐아아아압!!!!
>>	마왕의 다리에 칼이박힘
시스템	공격버튼으로 마왕을 붙잡고 계세요
>>	붙잡고있는 마왕을 일행3명이 봉인중
시스템	스킬을 사용하여 마왕으로부터 일행을 지키세요
>>	마왕이 일행에게 원거리공격을 시도함
>>	일행이 한명 죽음
-키례프	!!
-발도나	!!
-영웅	크으윽!! 안돼애애애애!!
시스템	계속해서 마왕을 붙잡으세요!
>>	봉인진이 깜박깜박하면서 사라지려하다가 아슬아슬하게 마왕봉인
-마왕	크아아아아아아!!!!!! 이... 이럴수가!! 아...안돼에에에에에!!!!
>>	마왕이 쓰러짐
>>	영웅도 쓰러짐(페이드아웃)

배경	-일주일뒤-
장소	수도
>>	영웅의 장례가 성대하게 치뤄지고있다
-키례프	발도나여.. 자네는 이제 어디로 향하는가
-발도나	나는 수도에 남아 궁중 마법사가 될걸세
	다시는 이런일이 일어나지 않게 훌륭한 마법사들을 육성할거야
	자네는 어떡할겐가
-키례프	나는 영웅의 아들을 만나려하네..
	살아생전의 영웅과의 약속이었지
	듣자하니 아들이 검사가 되고 싶어 한다더군..
	같은 검사된 입장에서 추천하는 삶은 아니지만 약속은 약속이니 말이지
-발도나	그렇군.. 건강하시게 다음에 영웅의 아들도 한번 소개해주게나
-키례프	그렇게하지.. 그동안 잘지내시게
>>	(페이드아웃)
-------------------------------------------------------------------------------------------------
<챕터0. 스테이지1> -소녀와의 만남
배경	-7년뒤 영웅의 아들, 주인공의 집-
장소	주인공의 집
-주인공	으...으음..(페이드인)
	/오늘이 몇일이더라.. 일단 옷을 입자
시스템	책상에 있는 옷을 주우세요(아이템획득 튜토리얼)
시스템	인벤토리창을 열어서 옷을 입으세요(장비 튜토리얼)
시스템	식탁위의 샌드위치를 주우세요
시스템	샌드위치를 단축화면에 올리고 먹으세요(아이템 사용 튜토리얼)
>>	문에서 똑똑똑 소리가 들린다, 화면이 문쪽을 향하고 다시 주인공으로 돌아온다
-주인공	음? 누구세요??
시스템	문앞에가서 공격버튼을 누르면 문이 열립니다 npc앞에서 공격버튼을 누르면 대화가 가능합니다(상호작용 튜토리얼)
(플레이)	문을 열고 말을 거는 주인공
-주인공	누구시죠??
-셀라	으.. 혹시 이곳에 은색잔이 있지 않나요..??
-주인공	은색잔...? 아뇨 그런건 잘 모르는데요...
-셀라	이곳에서 은색잔의 기운이 느껴지는데...
	아, 소개가 먼저겠군요..쿨럭
	안녕하세요 저는 셀라, 하늘에서 마왕의 힘을 완전히 소멸시키라는 명을 받고 온 사자입니다
	마왕의 힘을 완전히 소멸시키기 위해선 은색잔에 마왕의 힘이 봉인된 구슬 100개를 모두 집어 넣어야해요
	그 은색잔은 이곳 지하에 있는거 같군요... 쿨럭
	으... 제게 시간이 얼마 없어요... 이대로 두다간 세계에 흩어져있는 구슬들이 마물들을 점점 강하게 만들거에요
-주인공	/누군진 모르겠지만.. 피를 흘리고 있네.. -> /마을에서 본 적 없는 소녀다. 피를 흘리고있네... ★★(수정)
	/근데 내방 지하에 은색잔이 있다고..? 정말일까..?
	/그나저나 지하에 공간이 있는건 어떻게 안거지..? 나도 궁금하긴 하니까.. 보는것 정도는 괜찮겠지..?
	/설령 나쁜사람이라 해도 다죽어가는 몸으로 나쁜짓을 하진 않을거야!	★★ (삭제)
	좋아요 들어오세요
>>	셀라는 피를 조금 흘리며 집에 들어왔다
★★★★ 셀라가 흘리는 피를 보며 괜찮냐고 물어봄. 괜찮다고 함
>>	셀라가 지하통로 문을 열었다(페이드 아웃)

<챕터0. 스테이지2> -은색잔을 찾아 지하통로로
>>	셀라가 앞장서서 걷고있다
(플레이)	플레이어가 조작을 통해 셀라를 따라감
-수호자	!!
-수호자	(눈이 빨개지고 공격하기위해 기를 모으고 있다)
-셀라	!!
(플레이)	1. 수호자랑 싸우러 소녀의 앞으로 나간다. 2. 5초간 아무것도 안하고있는다. -> (스토리) 주인공이 소녀의 앞으로 몸을 던짐
-주인공	안돼!!!!
-수호자	(공격모션을 취하다가 멈칫)
	.....(스르륵 사라진다)
-주인공	아니 저런게 내방 지하에 있었다고...? 저게 뭐...뭐지?
-셀라	마물이에요.. 그것도 상위종의... ★ (누군가가 소환한거 같은데 극적으로 마력이 소진되어 사라진 모양이에요) ★삭제
	앗.. 저게.. 저게 은색잔이에요! 
>>	맵끝에 은색잔을 보여준후 다시 카메라가 플레이어에게 돌아옴
(플레이)	은색잔을 손에 넣었다
-셀라	이걸 제가 받아가도 될까요...?
-주인공	그렇게해. 사실 난 이 은색잔이 있는지도 몰랐어 ★(이걸보니 니말이 적어도 거짓이 아니란건 알겠네)  ★ 삭제
-셀라	(활짝웃으며) 감사합니다! 드디어 마왕의 힘을 소멸시키기위해 구슬을 모을수 있겠어요!
(플레이)	다시 1층으로 올라옴(페이드아웃과 페이드인)
-셀라	감사했습니다 저는 이제 마왕의 힘을 소멸시키러 가겠어요! 아.. 보답으로 이거라도 받아주세요
	(네잎클로버를 건네준다) 오다가 주웠어요 헤헤.. 별건 아니지만 당신의 앞길에 행운이 함께하길 바래요
-주인공	고마워 덕분에 신기한 경험을 한것같아 그런데 피가 난거 같은데 괜찮겠어...?
-셀라	네 아까 마물에게 당한 상처이긴한데 괜찮아요! 하늘에서내려온 사자를 얕보지 마시라구요! 후훗
	그럼 가볼게요 안녕!
>>	(페이드아웃)

<챕터0. 스테이지3> -쓰러진 셀라
>>	탁, 문이 닫히고 주인공의 시선이 바닥을 향한다
-주인공	/이 핏자국은... 아무래도 조금 걱정이 되는데 나가볼까..
(플레이)	밖으로 나옴
-주인공	/이 핏자국을 따라가면 셀라가 있을거야... 괜찮아야할텐데.. 우선 따라가보자!
(플레이)	따라가는중 셀라가 쓰러져있는걸봄
-주인공	!!! 역시! 오.. 안돼 셀라 정신차려!
-셀라	......
(플레이)	셀라를 업음
-주인공	/안되겠어! 집에 데려가서 간단한 치료라도 해야겠어.. 우선 집으로 데려가자
(플레이)	집에 들어옴
시스템	침대앞에서 공격버튼을 누르면 셀라를 침대에 눕힙니다
(플레이)	셀라를 눕힘
-주인공	이제 셀라를 치료할 약초를 캐러가자 아까 집밖에서 본것같아 나가서 찾아오자
(플레이)	집밖에 나가서 약초를 캐온다
시스템	약초는 조합을 통해 회복약으로 바꿀수 있습니다.(조합 튜토리얼)
시스템	셀라에게 돌아가세요
시스템	셀라에게 돌아가자 자동으로 회복약이 사용되었다
-주인공	이제 괜찮을거야..(자는 셀라를 바라봄)
	근데 진짜 하늘에서 온게 맞긴한가봐.. 이렇게 아름다운 외모는 태어나서 본적이 없어..
>>	주인공이 셀라에게 이불을 덮어줌
>>	머리 한번 훑어줌
>>	바닥에 눕는 주인공
-주인공	/오늘은 참 많은일이 있었네.. 다른사람과 같이 자는건 오랜만이야..
	/옛날엔 아버지와 함께 잠을 잤는데 말이지.. 아.. 아버지..(스르르 잠이듬)
>>	(페이드 아웃)

<챕터0. 스테이지4> -마음을 굳히다
>>	눈을 뜬 주인공(페이드인)
>>	화면이 집안에서 요리하는 셀라에게 돌아갔다가 다시 플레이어에게로옴
-주인공	!! 셀라! 괜찮은거야..???
-셀라	아! 일어나셨네요! 괜찮아요 회복약을 써주셨죠?? 감사해요.. 하.. 인간에게 도움을 받다니 하늘의 사자로써 실격이네요..
-주인공	아니야! 그렇지 않아! 그나저나 뭘하고 있는거야??
-셀라	감사의 의미로 아침을 준비하고 있었어요. 저는 요리에는 자신이 있어요. 
-셀라	혹시 먹고싶으신게 있나요..?
시스템	버터감자:체력상승  파르페:이속상승  베이컨토스트:공격력증가
-셀라	잠시만 기다려주세요~
시스템 	몇 분 후
-셀라	여기있어요. 입맛에 맞으면 좋겠네요.
시스템	주인공의 능력이 일시적으로 상승했다
-주인공	고마워! 그런데 구슬을 모아서 마왕의 힘을 소멸시킨다 했지? 무슨말이야?
-셀라	때는 7년전
>>	(페이드아웃) 프롤로그화면처럼 바뀜(페이드인)
-셀라	영웅무리가 마왕을 봉인했고 봉인한자리에 은색잔이 나타났어요
	그리고 그 무리중 한명이 은색잔위에 떠오른 구슬을 100개로 쪼개어 세계에 흩뿌렸죠, 그리고 은색잔을 주인공의 지하에 봉인시켜둔 모양이에요
	은색잔은 마왕의 힘의 근원이고 구슬은 마왕의 힘 그자체에요
	아무리 마왕이라도 100등분을 하게 되면 그각각의 힘은 약해지겠죠..
	하지만 시간이 지날수록 각각의 구슬에 힘이 조금씩 담겼어요 마물들이 마왕을 부활시키기 위해 조금씩 힘을 담은거죠
	하늘에서도 이를 반기지 않았어요, 마왕은 세계를 멸망시키려하는 골칫덩이였으니까요
